src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
412000690,412325200,774,102,135.14586891539665,734,444,1.7432432432432432,0.22972972972972974,2922
412061791,412508302,226,8,215.9940068481189,182,342,1.2417582417582418,0.04395604395604396,2922
412425192,998508450,140,9,194.36356776054578,328,220,0.6363636363636364,0.04090909090909091,2922
978925333,415131223,537,2,139.68654428292075,515,486,1.1049382716049383,0.00411522633744856,2922
