src,dst,bucket,label,score
150702295,366850380,2017-08-11 00:00:00,0,0.077436938881874
412421535,412423036,2017-08-11 00:00:00,1,0.077436938881874
257409500,257576600,2017-08-11 00:00:00,1,0.077436938881874
900000195,900017342,2017-08-11 00:00:00,1,0.077436938881874
870400189,900000195,2017-08-11 00:00:00,1,0.077436938881874
200021247,900000195,2017-08-11 00:00:00,1,0.077436938881874
412432877,900000195,2017-08-11 00:00:00,1,0.077436938881874
412432877,900017342,2017-08-11 00:00:00,1,0.077436938881874
200021247,870400189,2017-08-11 00:00:00,1,0.077436938881874
412432877,870400189,2017-08-11 00:00:00,1,0.077436938881874
412212839,413235579,2017-08-11 00:00:00,1,0.077436938881874
200021247,412432877,2017-08-11 00:00:00,1,0.077436938881874
200019473,412340960,2017-08-11 00:00:00,1,0.077436938881874
273316510,273420840,2017-08-11 00:00:00,1,0.077436938881874
412365041,412366335,2017-08-11 00:00:00,1,0.077436938881874
412365706,412413918,2017-08-11 00:00:00,0,0.077436938881874
412460151,415532155,2017-08-11 00:00:00,0,0.077436938881874
200020286,875401258,2017-08-11 00:00:00,0,0.077436938881874
257355020,770576122,2017-08-11 00:00:00,0,0.077436938881874
245342000,412323924,2017-08-11 00:00:00,0,0.077436938881874
238258440,412337216,2017-08-11 00:00:00,0,0.077436938881874
412214152,413070001,2017-08-11 00:00:00,0,0.077436938881874
237959000,412482422,2017-08-11 00:00:00,0,0.077436938881874
200008659,224552620,2017-08-11 00:00:00,0,0.077436938881874
412327004,412435036,2017-08-11 00:00:00,0,0.077436938881874
368085000,413543073,2017-08-11 00:00:00,0,0.077436938881874
412203601,440218050,2017-08-11 00:00:00,0,0.077436938881874
413262143,820040935,2017-08-11 00:00:00,0,0.077436938881874
200005498,412066699,2017-08-10 00:00:00,1,0.0774366185069084
412365706,412413918,2017-08-10 00:00:00,0,0.0774366185069084
231751000,273326830,2017-08-10 00:00:00,1,0.0774366185069084
251228000,251848640,2017-08-10 00:00:00,1,0.0774366185069084
412088186,412434203,2017-08-10 00:00:00,1,0.0774366185069084
224052450,224082870,2017-08-10 00:00:00,1,0.0774366185069084
88588,900011464,2017-08-10 00:00:00,1,0.0774366185069084
412410021,412860085,2017-08-10 00:00:00,1,0.0774366185069084
412460151,415532155,2017-08-10 00:00:00,0,0.0774366185069084
200020286,875401258,2017-08-10 00:00:00,0,0.0774366185069084
413262143,820040935,2017-08-10 00:00:00,0,0.0774366185069084
412203601,440218050,2017-08-10 00:00:00,0,0.0774366185069084
368085000,413543073,2017-08-10 00:00:00,0,0.0774366185069084
412327004,412435036,2017-08-10 00:00:00,0,0.0774366185069084
200008659,224552620,2017-08-10 00:00:00,0,0.0774366185069084
412214152,413070001,2017-08-10 00:00:00,0,0.0774366185069084
224022130,224095140,2017-08-10 00:00:00,1,0.0774366185069084
338603000,367084590,2017-08-10 00:00:00,1,0.0774366185069084
412327004,412435036,2017-08-09 00:00:00,0,0.0774338617920875
412425361,412429154,2017-08-09 00:00:00,1,0.0774338617920875
251209000,251847570,2017-08-09 00:00:00,1,0.0774338617920875
8814618,412364693,2017-08-09 00:00:00,1,0.0774338617920875
150701936,412432606,2017-08-09 00:00:00,1,0.0774338617920875
416001504,416201800,2017-08-09 00:00:00,1,0.0774338617920875
258052000,258545000,2017-08-09 00:00:00,1,0.0774338617920875
368085000,413543073,2017-08-09 00:00:00,0,0.0774338617920875
412365706,412413918,2017-08-09 00:00:00,0,0.0774338617920875
200020286,875401258,2017-08-09 00:00:00,0,0.0774338617920875
413262143,820040935,2017-08-09 00:00:00,0,0.0774338617920875
412203601,440218050,2017-08-09 00:00:00,0,0.0774338617920875
244644000,244750011,2017-08-08 00:00:00,1,0.077424943447113
257216940,258529000,2017-08-08 00:00:00,1,0.077424943447113
412414339,412418557,2017-08-08 00:00:00,1,0.077424943447113
320602597,412439116,2017-08-08 00:00:00,1,0.077424943447113
800008308,900006409,2017-08-08 00:00:00,1,0.077424943447113
408901561,408906921,2017-08-08 00:00:00,1,0.077424943447113
110705989,412433952,2017-08-08 00:00:00,1,0.077424943447113
412421366,412422647,2017-08-08 00:00:00,1,0.077424943447113
412437008,902588618,2017-08-08 00:00:00,1,0.077424943447113
412345645,412413361,2017-08-08 00:00:00,1,0.077424943447113
413262143,820040935,2017-08-08 00:00:00,0,0.077424943447113
412365706,412413918,2017-08-08 00:00:00,0,0.077424943447113
200020286,875401258,2017-08-08 00:00:00,0,0.077424943447113
412203601,440218050,2017-08-08 00:00:00,0,0.077424943447113
368085000,413543073,2017-08-08 00:00:00,0,0.077424943447113
412327004,412435036,2017-08-08 00:00:00,0,0.077424943447113
200008659,224552620,2017-08-08 00:00:00,0,0.077424943447113
412460151,415532155,2017-08-08 00:00:00,0,0.077424943447113
412214152,413070001,2017-08-08 00:00:00,0,0.077424943447113
237959000,412482422,2017-08-08 00:00:00,0,0.077424943447113
412365706,412413918,2017-08-07 00:00:00,0,0.0774013772606849
130400919,412432709,2017-08-07 00:00:00,1,0.0774013772606849
130400919,900018515,2017-08-07 00:00:00,1,0.0774013772606849
412432709,900018515,2017-08-07 00:00:00,1,0.0774013772606849
412365752,926004879,2017-08-07 00:00:00,1,0.0774013772606849
367026970,367095130,2017-08-07 00:00:00,1,0.0774013772606849
367095130,367630000,2017-08-07 00:00:00,1,0.0774013772606849
701000607,701078000,2017-08-07 00:00:00,1,0.0774013772606849
200020286,875401258,2017-08-07 00:00:00,0,0.0774013772606849
413262143,820040935,2017-08-07 00:00:00,0,0.0774013772606849
412203601,440218050,2017-08-07 00:00:00,0,0.0774013772606849
368085000,413543073,2017-08-07 00:00:00,0,0.0774013772606849
412327004,412435036,2017-08-07 00:00:00,0,0.0774013772606849
200008659,224552620,2017-08-07 00:00:00,0,0.0774013772606849
412460151,415532155,2017-08-07 00:00:00,0,0.0774013772606849
227319580,228149700,2017-08-07 00:00:00,1,0.0774013772606849
