src,dst,score
441864000,740338000,25.119991302490234
441864000,740354000,24.988746643066406
441864000,740356000,24.91278839111328
441864000,740372000,24.896560668945312
441864000,740372000,24.896560668945312
258261000,740335000,24.56814193725586
740358000,441864000,24.493608474731445
740358000,441864000,24.493608474731445
441868000,740338000,24.34994888305664
258261000,233659000,24.260753631591797
258261000,740359000,24.22610855102539
441868000,233659000,24.21691131591797
740356000,441868000,24.188262939453125
725000591,740337000,24.17363166809082
740368000,441868000,23.760751724243164
258261000,441864000,23.386159896850586
740337000,440863000,23.309852600097656
440863000,740354000,23.301803588867188
740366000,272178000,23.297456741333008
740353000,272178000,23.272083282470703
740337000,272178000,23.19317626953125
272178000,740336000,23.117969512939453
701000627,224491000,22.921092987060547
701000627,224491000,22.921092987060547
740356000,701000627,22.750959396362305
441868000,440863000,22.56271743774414
233659000,701068000,22.166276931762695
701068000,233659000,22.166276931762695
740368000,725002360,22.0129451751709
224491000,272204000,21.772663116455078
272204000,740366000,21.750205993652344
725002360,740353000,21.694740295410156
740336000,273341320,21.62384033203125
273341320,740353000,21.46596908569336
725000896,740359000,21.36661148071289
740358000,725000896,21.258764266967773
272204000,740358000,21.22948455810547
273341320,740333000,21.210514068603516
273341320,740356000,20.954593658447266
441868000,701068000,20.93560791015625
273341320,233659000,20.929302215576172
440863000,725000896,19.533430099487305
725002360,273341320,18.451915740966797
273341320,272208000,18.38849449157715
272204000,273341320,18.110755920410156
273345230,512003817,17.94249725341797
412331051,740335000,17.778396606445312
441699000,224559000,17.7161865234375
224004000,740372000,17.68707275390625
224004000,740336000,17.504146575927734
224491000,412331051,17.355186462402344
412331051,224491000,17.355186462402344
740366000,412331051,17.34811782836914
259539000,740336000,17.07579803466797
273341320,273431690,17.035430908203125
441699000,740359000,16.856426239013672
440899000,740336000,16.791048049926758
412270002,412420458,16.790477752685547
412331051,441868000,16.78557014465332
441699000,740336000,16.668272018432617
272221000,233659000,16.615690231323242
725002300,740344000,16.540416717529297
740344000,725000261,16.499757766723633
740368000,440899000,16.390029907226562
272221000,740372000,16.33246421813965
740335000,272221000,16.3131103515625
272221000,740335000,16.3131103515625
412331051,701000627,15.951906204223633
412280982,740368000,15.94892692565918
412420458,224623000,15.885913848876953
273539310,440282000,15.716601371765137
770576439,740402000,15.716601371765137
665111129,440282000,15.716601371765137
740399000,440755,15.716601371765137
770565353,770576305,15.716601371765137
440282000,665111129,15.716601371765137
512006000,440282000,15.716601371765137
257400000,440816000,15.716601371765137
440816000,740399000,15.716601371765137
512006000,740399000,15.716601371765137
701112000,257400000,15.716601371765137
665111129,440282000,15.716601371765137
770576305,701112000,15.716601371765137
272770000,257400000,15.716601371765137
272770000,740399000,15.716601371765137
701112000,665111129,15.716601371765137
512006000,440755,15.716601371765137
441868000,272221000,15.698942184448242
440683000,440684000,15.69782543182373
740356000,725015600,15.617791175842285
259539000,740344000,15.57419490814209
740337000,725015600,15.556848526000977
740336000,412280982,15.382793426513672
740344000,440899000,15.326804161071777
740344000,440899000,15.326804161071777
412280982,441868000,15.260246276855469
412217999,740335000,15.254193305969238
440863000,725000261,15.118974685668945
440863000,725000261,15.118974685668945
740337000,412270002,15.046429634094238
272208000,725000591,14.980979919433594
740338000,272323000,14.862699508666992
740337000,273431690,14.824195861816406
272208000,740358000,14.811944961547852
272178000,272208000,14.769638061523438
740368000,273431690,14.752564430236816
440683000,760000370,14.747980117797852
440683000,760000370,14.747980117797852
440899000,701006182,14.735542297363281
412280982,725000591,14.563295364379883
740356000,412270002,14.551502227783203
440683000,412690730,14.510311126708984
740377000,470100540,14.496191024780273
412280982,725002360,14.491344451904297
740338000,512236000,14.486841201782227
412270002,512003817,14.461568832397461
740372000,273431690,14.425603866577148
412270002,740338000,14.391571044921875
701000627,272323000,14.379627227783203
412690730,470100540,14.309173583984375
412420458,224567000,14.299272537231445
272323000,725000591,14.226485252380371
412331036,440684000,14.197720527648926
412280982,272178000,14.185641288757324
740336000,512236000,14.18104362487793
412420457,440684000,14.178960800170898
512236000,740359000,14.167512893676758
740336000,273345230,14.115796089172363
273345230,740336000,14.115796089172363
725000896,440899000,14.095907211303711
440528000,412439757,14.016369819641113
512411000,412331051,13.998729705810547
701068000,412280982,13.872200012207031
224506000,740372000,13.86245059967041
441309000,440108000,13.857820510864258
272208000,272204000,13.857020378112793
441053000,701000512,13.846688270568848
272364000,725004140,13.84131145477295
725002360,440899000,13.83811092376709
440899000,725002360,13.83811092376709
224506000,233659000,13.776554107666016
224559000,740359000,13.751221656799316
740344000,273431690,13.714947700500488
224897000,740333000,13.64792251586914
740368000,224559000,13.63971996307373
412331034,412439757,13.588623046875
412420384,412439757,13.575998306274414
441565000,470100540,13.53260612487793
760000370,412331036,13.430068969726562
701000713,412280982,13.424617767333984
412206008,224888000,13.376239776611328
224897000,740337000,13.355081558227539
701006182,224491000,13.320897102355957
224571000,412420459,13.318426132202148
740372000,701006182,13.294288635253906
470100540,412371196,13.277180671691895
441053000,701000945,13.26778507232666
224559000,440863000,13.266018867492676
224559000,440863000,13.266018867492676
441142000,760000370,13.250870704650879
740354000,273345230,13.224235534667969
440684000,412371196,13.176549911499023
273354130,440683000,13.15204906463623
701000948,440683000,13.149114608764648
441309000,412439756,13.145820617675781
412331037,440108000,13.12588119506836
273345230,441864000,13.12204360961914
258261000,224506000,13.10814094543457
224897000,740336000,13.105838775634766
441142000,412420384,13.093812942504883
701006182,740354000,13.057304382324219
273354130,470100540,13.027111053466797
412331034,701000929,12.89471435546875
740399000,272221000,12.864904403686523
412331036,441565000,12.860106468200684
760000370,224820000,12.847171783447266
725002360,272323000,12.821691513061523
273354130,440684000,12.810827255249023
725015600,224506000,12.799165725708008
725002350,233659000,12.784736633300781
740356000,725002350,12.775814056396484
224897000,272178000,12.771331787109375
273345230,740358000,12.770167350769043
441142000,412371195,12.73398208618164
412331051,224004000,12.733922958374023
272204000,273431690,12.731681823730469
273431690,272204000,12.731681823730469
412420314,224967000,12.719474792480469
725001900,412439757,12.695293426513672
725001900,412439757,12.695293426513672
725015600,224004000,12.677753448486328
701000948,440528000,12.667473793029785
440755000,233659000,12.65619945526123
440755000,740335000,12.648590087890625
512000122,412439757,12.622681617736816
512000122,412439757,12.622681617736816
412329696,441309000,12.613079071044922
701006182,740358000,12.610749244689941
440528000,412439587,12.606945991516113
725002350,740336000,12.529586791992188
