src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
701006083,412443375,15,0,18259.131713569142,60,18,0.8333333333333334,0.0,100
412410389,800000142,7,0,468.12155259349964,14,23,0.5,0.0,100
412985698,412443375,4,1,348.5123209958138,10,18,0.4,0.1,100
244567000,412435823,2,0,9062.975021204007,51,7,0.2857142857142857,0.0,100
227314040,413037008,16,0,8760.168613474369,73,18,0.8888888888888888,0.0,100
412450427,111203412,3,1,137.44118017449088,23,8,0.375,0.125,100
412420012,500080001,1,0,25.449260086673426,14,5,0.2,0.0,100
412420104,900304132,5,0,17138.65553438918,53,12,0.4166666666666667,0.0,100
263500215,413000084,3,0,10658.887183921694,26,9,0.3333333333333333,0.0,100
412461376,412427825,6,1,191.14410188905265,7,19,0.8571428571428571,0.14285714285714285,100
412435485,412366519,2,0,79.7256588002441,6,17,0.3333333333333333,0.0,100
800025608,900900683,1,0,88.1855559077704,14,3,0.3333333333333333,0.0,100
412427825,263428000,9,0,10502.080961471238,19,49,0.47368421052631576,0.0,100
412410161,412421558,1,0,284.0321271404388,8,6,0.16666666666666666,0.0,100
412436203,412599116,0,0,,5,7,0.0,0.0,100
412423917,412328267,5,0,631.1767383768549,27,9,0.5555555555555556,0.0,100
412435045,412438482,9,0,212.8629961487576,11,27,0.8181818181818182,0.0,100
412430728,412437524,6,0,164.8427673064656,21,15,0.4,0.0,100
412417761,412120301,2,0,1245.959223593409,3,28,0.6666666666666666,0.0,100
412433475,224108460,8,0,10141.407311891842,15,35,0.5333333333333333,0.0,100
412432829,244567000,3,0,9087.172387701694,7,51,0.42857142857142855,0.0,100
412435823,224046990,4,0,10949.98399328186,7,39,0.5714285714285714,0.0,100
