,score
count,500.0
mean,14.458989706039429
std,0.42023126914134606
min,13.873847007751465
10%,13.96363477706909
25%,14.110488891601562
50%,14.409306526184082
75%,14.758979797363281
90%,14.95328483581543
95%,15.197220659255981
99%,15.79880723953247
max,15.982738494873049
