src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
257317000,316003227,5845,0,5308.709238587873,2156,468,12.489316239316238,0.0,2922
813021762,412413289,5062,0,738.8262325075408,1206,857,5.906651108518086,0.0,2922
412000690,412325200,3736,1568,139.01772046156097,734,444,8.414414414414415,3.5315315315315314,2922
251146940,224072680,3205,0,3340.257022914239,395,1159,8.113924050632912,0.0,2922
412061791,412508302,1208,378,251.85226302809798,182,342,6.637362637362638,2.076923076923077,2922
224017870,412428302,2611,0,9882.827137974267,889,388,6.729381443298969,0.0,2922
412150903,237554000,693,0,8204.70228578368,244,418,2.8401639344262297,0.0,2922
271072219,412671880,2275,0,9140.823311403132,447,1153,5.089485458612975,0.0,2922
273810110,800050093,1303,0,4351.436272302367,2517,105,12.40952380952381,0.0,2922
271072320,251422540,6440,0,4266.119156132637,871,1378,7.393800229621125,0.0,2922
412436875,412836422,379,0,733.8665120647253,157,202,2.4140127388535033,0.0,2922
412327536,316003779,759,0,8623.01004254286,168,1449,4.517857142857143,0.0,2922
205243000,412470145,6546,0,9786.647405744046,1995,590,11.094915254237288,0.0,2922
224060150,412333102,604,0,10154.805708862168,1657,74,8.162162162162161,0.0,2922
412322715,257391020,2884,0,7077.096302927188,233,2008,12.377682403433477,0.0,2922
412334569,412457054,2372,0,1482.4393143203179,514,784,4.614785992217898,0.0,2922
431007759,440122430,6774,0,993.7937483230377,900,1418,7.526666666666666,0.0,2922
250002378,412449921,3227,0,9730.3738707684,1112,321,10.052959501557632,0.0,2922
922564322,412436139,833,0,235.9658686705878,121,455,6.884297520661157,0.0,2922
205106000,258262000,13626,0,1893.967232266375,1448,1896,9.410220994475138,0.0,2922
413772167,200012142,104,0,1054.827732419177,39,231,2.6666666666666665,0.0,2922
412328726,251581340,2394,0,14286.394474986677,1090,247,9.692307692307692,0.0,2922
200034921,440120830,2050,0,723.0575109618484,283,564,7.243816254416961,0.0,2922
235004768,900019302,311,0,9651.106826965159,583,90,3.4555555555555557,0.0,2922
412287252,431700348,4622,0,2079.498171229507,425,1526,10.875294117647059,0.0,2922
412420857,412898896,0,0,,52,100,0.0,0.0,2922
900000104,413013474,932,0,714.6392800477115,473,141,6.609929078014185,0.0,2922
998512016,257006500,1379,0,7076.121347891732,136,1176,10.139705882352942,0.0,2922
543345420,412460258,169,0,620.1617171698229,48,733,3.5208333333333335,0.0,2922
412427363,412432384,998,132,279.51215180235897,431,355,2.8112676056338026,0.37183098591549296,2922
224137980,412214311,2685,0,9077.157378402942,480,539,5.59375,0.0,2922
800050719,900200966,805,0,466.53673598590865,635,103,7.815533980582524,0.0,2922
440105310,238988810,5465,0,8930.09572689832,555,1424,9.846846846846846,0.0,2922
800051209,412160104,1222,0,1836.9843287659858,130,559,9.4,0.0,2922
413670066,412329737,75,0,971.5335025790645,48,310,1.5625,0.0,2922
249000150,412322136,1044,0,9013.974392879143,415,222,4.702702702702703,0.0,2922
228219900,926002068,1675,0,9044.012334898782,796,219,7.648401826484018,0.0,2922
108301290,412438845,105,7,323.1559241639726,259,66,1.5909090909090908,0.10606060606060606,2922
900403696,800043359,106,0,1010.4295748536474,421,45,2.3555555555555556,0.0,2922
780678229,412322669,523,20,129.03776198447804,256,130,4.023076923076923,0.15384615384615385,2922
412330962,247054080,3474,0,8425.496721246274,497,862,6.989939637826962,0.0,2922
412477576,412366352,2325,0,1488.5405384499788,548,326,7.131901840490798,0.0,2922
412365879,258095070,157,0,6583.764540320951,227,337,0.6916299559471366,0.0,2922
800021236,227320070,2146,0,9635.704299711826,819,535,4.011214953271028,0.0,2922
245159000,224186490,4748,0,1880.9958931438541,2038,389,12.205655526992288,0.0,2922
412326152,412567230,236,0,897.2367192798542,355,92,2.5652173913043477,0.0,2922
412436149,412201652,1939,0,1071.479499826598,322,629,6.021739130434782,0.0,2922
412324269,213432082,213,0,965.6558112959555,375,165,1.290909090909091,0.0,2922
412436755,412427824,414,3,233.52228842665704,208,199,2.080402010050251,0.01507537688442211,2922
412437805,412327483,843,0,754.0994132752248,279,319,3.021505376344086,0.0,2922
247071010,412331589,3369,0,8329.883211805098,1096,469,7.183368869936034,0.0,2922
273896300,224177240,20368,0,9787.292203363506,2408,1594,12.777917189460476,0.0,2922
412480774,412214618,367,0,1870.8777626012268,200,270,1.835,0.0,2922
247071970,412441347,1906,0,9257.714440749885,1002,395,4.8253164556962025,0.0,2922
412322743,247143230,1014,0,9078.336081868925,205,966,4.946341463414634,0.0,2922
900361019,412033504,403,0,762.4601409519827,131,345,3.0763358778625953,0.0,2922
200005403,412341689,497,0,529.7759147122188,194,173,2.8728323699421967,0.0,2922
978925333,905108098,1550,0,442.7147197319105,515,253,6.126482213438735,0.0,2922
412364987,412472399,2495,0,1439.547640335243,282,956,8.847517730496454,0.0,2922
238598010,412331602,2117,0,8403.668388648695,418,626,5.064593301435407,0.0,2922
412451244,412436469,302,0,542.4989675145497,546,122,2.4754098360655736,0.0,2922
412467837,412321053,569,0,1945.4616917050084,135,287,4.214814814814815,0.0,2922
412331693,412436406,138,0,701.2904798842599,42,131,3.2857142857142856,0.0,2922
227480000,247301090,16681,0,1747.2664849777796,2103,1346,12.393016344725112,0.0,2922
440100368,412331807,25,0,876.4982251248045,232,127,0.1968503937007874,0.0,2922
888810972,412444848,473,0,1165.9135226020355,165,204,2.8666666666666667,0.0,2922
200010801,412349355,383,0,234.03492470563916,161,145,2.6413793103448278,0.0,2922
412322484,412422065,587,0,637.8750752721035,144,301,4.076388888888889,0.0,2922
15201,412322501,819,540,137.36378409764845,126,372,6.5,4.285714285714286,2922
440152550,800049974,6058,0,853.6050121689061,1086,498,12.164658634538153,0.0,2922
271072091,369519000,3967,0,9747.304001527982,793,1042,5.002522068095838,0.0,2922
412061037,412448746,198,28,218.5137974700289,228,311,0.868421052631579,0.12280701754385964,2922
412428937,440027420,1633,0,777.8542297827181,255,691,6.403921568627451,0.0,2922
800036171,224005830,4679,0,9621.196080234977,579,1306,8.081174438687393,0.0,2922
271073074,367133080,1927,0,8162.6744512404775,512,420,4.588095238095238,0.0,2922
412410322,235103397,10218,0,9409.191748563293,775,2005,13.184516129032257,0.0,2922
247301090,412432592,3548,0,9480.890518025186,1346,396,8.95959595959596,0.0,2922
316003227,412000923,1218,0,10916.743080645834,468,278,4.381294964028777,0.0,2922
413000179,235065442,3620,0,8385.781120147756,309,1905,11.715210355987056,0.0,2922
412427396,412082569,460,2,569.0097155687564,236,145,3.1724137931034484,0.013793103448275862,2922
412283766,412327406,1037,0,427.5867848829666,501,347,2.988472622478386,0.0,2922
227301390,412213972,5503,0,8676.301527891006,1475,614,8.962540716612377,0.0,2922
412450027,200007910,95,0,998.6565493861317,146,328,0.6506849315068494,0.0,2922
211315220,412431564,1453,0,8974.909063653779,716,300,4.843333333333334,0.0,2922
412425192,998508450,820,53,189.0313571273871,328,220,3.727272727272727,0.2409090909090909,2922
412482661,988005881,524,0,989.4431719685015,528,39,13.435897435897436,0.0,2922
412431182,412444756,1502,0,471.802500833592,365,590,4.115068493150685,0.0,2922
259127000,263401250,7282,0,2996.2138883893545,966,1812,7.538302277432712,0.0,2922
412320152,224063280,2455,0,10287.437926227676,317,1469,7.744479495268139,0.0,2922
100059863,912022008,211,0,947.2557124529997,75,68,3.1029411764705883,0.0,2922
247252280,859000000,3584,0,8710.91027288289,1545,433,8.277136258660509,0.0,2922
227657280,412006566,1288,0,10108.901601985852,643,228,5.649122807017544,0.0,2922
413002668,431008269,1671,0,1930.5151462774247,289,526,5.782006920415225,0.0,2922
238622210,413001153,3019,0,9133.675903304556,1002,497,6.074446680080483,0.0,2922
710903610,412322468,1833,0,18760.80151318538,726,198,9.257575757575758,0.0,2922
412348429,250003659,1346,0,9040.268597463779,208,1170,6.471153846153846,0.0,2922
412435602,271062053,322,0,8278.020741973332,203,252,1.5862068965517242,0.0,2922
412469099,412324368,594,0,1784.0579610451991,134,542,4.432835820895522,0.0,2922
