src,dst,score
258261000,740336000,16.71362559000651
740353000,258261000,16.50128110249837
740333000,258261000,16.015062650044758
740333000,258261000,16.015062650044758
740338000,258261000,15.7965300877889
740336000,441864000,15.739283879597982
258261000,740372000,15.62452252705892
740354000,258261000,15.313477834065756
441864000,740338000,14.886317253112793
441864000,740354000,14.651885986328125
441864000,740354000,14.651885986328125
259539000,740336000,14.490223248799643
259539000,740336000,14.490223248799643
259539000,740337000,13.99857266743978
259539000,740366000,13.725341161092123
258261000,740358000,13.46922779083252
441864000,740358000,13.186052958170572
412217999,740359000,12.332827885945639
740336000,412280982,12.320791721343994
272208000,740336000,12.258309364318848
224567000,412420809,12.181517918904623
412420809,224567000,12.181517918904623
412420809,224567000,12.181517918904623
740335000,272208000,12.150598843892416
412270002,740353000,12.054450352986654
440863000,740336000,11.936259110768637
412270002,224491000,11.825023333231607
740337000,412217999,11.789387543996176
740337000,412217999,11.789387543996176
412280982,224491000,11.699575901031494
412217999,740366000,11.65897019704183
440863000,740337000,11.635747273763021
740337000,440863000,11.635747273763021
412420458,224567000,11.632528940836588
412280982,740366000,11.595675150553385
224559000,412420809,11.462043762207031
440899000,740335000,11.353797117869059
740335000,440899000,11.353797117869059
412270002,740372000,11.30140765508016
440203000,412420809,11.164261817932129
440899000,740353000,11.097880522410074
440899000,740337000,11.051944891611734
412270002,740354000,11.027374267578125
440203000,440502000,10.87684694925944
725000285,412690730,10.87337875366211
412420458,412420809,10.866649945576986
412280982,233659000,10.856496651967367
740368000,259539000,10.845740954081217
233659000,272208000,10.8251371383667
440899000,740366000,10.728974024454752
224491000,441699000,10.713223457336426
272178000,740359000,10.594380219777426
441699000,740333000,10.569509824117025
440755000,740335000,10.453290621439615
740336000,440755000,10.377302169799805
273431690,224559000,10.375880241394043
441142000,412690730,10.276918729146322
740366000,440755000,10.126789728800455
740338000,272178000,10.123969713846842
224567000,273431690,10.108964761098227
440755000,740333000,10.081912835439047
515303000,412420801,9.992539087931315
515303000,412420801,9.992539087931315
440755000,740372000,9.955950736999512
224967000,725000285,9.931198279062906
224967000,725000285,9.931198279062906
412690730,725001900,9.926408767700195
412420809,273431690,9.771519184112549
440755000,740356000,9.762578328450521
233659000,273341320,9.755133231480917
272208000,740344000,9.658718903859457
740358000,412217999,9.608235041300455
740358000,412217999,9.608235041300455
273431690,412420801,9.541957378387451
441142000,701000948,9.521886984507242
760000370,412690730,9.461551666259766
725001900,701000929,9.3791344165802
701000929,725001900,9.3791344165802
725001900,440684000,9.345309575398764
725000285,440683000,9.327263355255127
441767000,412420809,9.276599248250326
412420809,441767000,9.276599248250326
760000370,470100540,9.247453173001608
432443000,441142000,9.175659577051798
515303000,412420574,9.139424165089926
760000370,440684000,9.112402757008871
440684000,760000370,9.112402757008871
740368000,272208000,9.042837460835775
258261000,440755000,8.96968412399292
441864000,272208000,8.93132209777832
273341320,258261000,8.839721520741781
273341320,258261000,8.839721520741781
224526000,725000285,8.807036320368448
412420801,512003817,8.791192849477133
512003817,412420801,8.791192849477133
440684000,224967000,8.787542025248209
740368000,440863000,8.78650188446045
224967000,725001900,8.776593923568726
725000591,224491000,8.693850676218668
224491000,725000591,8.693850676218668
258261000,272178000,8.650418440500895
725000591,740333000,8.647531191507975
725000591,740353000,8.632614453633627
224567000,512008000,8.629440625508627
512003817,412420458,8.600351015726725
412420458,512003817,8.600351015726725
725004140,725002460,8.592220147450766
412420574,273431690,8.589773972829184
412420809,273345230,8.57557471593221
412420809,273345230,8.57557471593221
412420574,441767000,8.54747486114502
440684000,470100540,8.513908624649048
441864000,440899000,8.370196342468262
440683000,224967000,8.339166482289633
701000689,432443000,8.335209925969442
740368000,441699000,8.289826234181723
441699000,740368000,8.289826234181723
725001900,224526000,8.265082041422525
725000591,233659000,8.26507019996643
740336000,701000627,8.250654061635336
441767000,224623000,8.244329611460367
701000947,416046800,8.213420391082764
701000947,416842000,8.213420391082764
416842000,701000947,8.213420391082764
416032500,701006427,8.21341864267985
416842000,441053000,8.19719123840332
416842000,441053000,8.19719123840332
440890000,416046800,8.19719123840332
224526000,441142000,8.195998032887777
701000627,740353000,8.193860054016113
701000627,740353000,8.193860054016113
725000591,740356000,8.179944038391113
725000285,701000673,8.16040325164795
725001900,701000673,8.120449364185333
701000673,725001900,8.120449364185333
273345230,512008000,8.102202852567038
224967000,760000370,8.072089195251465
760000370,224967000,8.072089195251465
760000370,224967000,8.072089195251465
701000901,416046800,8.054423173268637
432443000,224526000,8.05187992254893
701006427,701000901,8.045545895894369
701000673,701000929,8.031849046548208
701000901,441053000,8.03076696395874
416842000,701000512,8.0186128616333
416046800,701000512,8.0186128616333
416842000,701000512,8.0186128616333
701000512,416032500,8.018611590067545
224559000,512000192,8.00661039352417
224559000,512000192,8.00661039352417
441053000,701000512,7.9953813552856445
272178000,441864000,7.916929562886556
701000627,740372000,7.901119550069173
701000627,740338000,7.894803365071614
701006085,432443000,7.876284639040629
701068000,740335000,7.861650307973226
441868000,224491000,7.838763912518819
440890000,701000867,7.838225364685059
441053000,701000867,7.838225364685059
441053000,701000867,7.838225364685059
416842000,701000597,7.827218691507976
701068000,740359000,7.8069047927856445
440683000,224526000,7.804403781890869
740356000,701000627,7.795998493830363
701000627,740356000,7.795998493830363
740356000,701000627,7.795998493830363
701006085,760000370,7.7765776713689165
441868000,740366000,7.772283673286438
412690730,701000689,7.7528626918792725
224701000,224567000,7.720829486846924
740344000,701000627,7.70257306098938
273431690,770576321,7.6863852341969805
701000597,701000901,7.669183254241943
441770000,701000948,7.668715000152588
701000867,701000512,7.667234738667806
701000945,701006427,7.663599491119385
440890000,701000945,7.648259321848552
701000632,416032500,7.644643306732178
740337000,441868000,7.6373335520426435
701000512,701000597,7.635052998860677
701000947,701000632,7.633640130360921
701000632,440890000,7.618593533833821
701006204,416842000,7.607484658559163
416032500,701006204,7.607482433319092
701006204,701000947,7.59443473815918
701006427,701006132,7.59443473815918
441298000,412690730,7.576201836268107
