heuristic,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
common_neighbors,0.9184054546840281,0.0005774789088288101,0.9432985682414359,0.002662949548073612
jaccard,0.9224712579659844,0.0022043864946150182,0.9480809447918501,0.0006113655316994371
adamic_adar,0.9198916567488817,0.0036055789739050104,0.9465200194205576,0.004898960358221627
