MMSI,candidate_count,max_score,mean_score
441864000,8,25.11999130249023,24.648503065109253
273341320,8,21.62384033203125,20.141923189163208
441868000,6,24.34994888305664,23.335700035095215
233659000,5,24.260753631591797,22.747904205322264
740356000,4,24.91278839111328,23.201651096343994
258261000,4,24.56814193725586,24.110291004180908
740358000,4,24.493608474731445,22.868866443634033
440863000,4,23.309852600097656,22.176950931549072
272178000,4,23.297456741333008,23.220171451568604
272204000,4,21.77266311645508,20.71577739715576
740372000,3,24.896560668945312,22.493398030598957
740337000,3,24.17363166809082,23.558886845906574
740353000,3,23.272083282470703,22.144264221191406
740336000,3,23.117969512939453,20.74865214029948
224491000,3,22.921092987060547,22.53828303019206
701000627,3,22.921092987060547,22.864381790161133
701068000,3,22.166276931762695,21.756053924560547
725002360,3,22.0129451751709,20.71986707051595
725000896,3,21.36661148071289,20.71960194905599
740338000,2,25.11999130249023,24.734970092773438
740354000,2,24.988746643066406,24.145275115966797
740335000,2,24.56814193725586,21.173269271850586
740359000,2,24.22610855102539,22.79636001586914
740368000,2,23.760751724243164,22.88684844970703
740366000,2,23.297456741333008,22.523831367492676
224004000,2,17.68707275390625,17.595609664916992
725000591,1,24.17363166809082,24.17363166809082
740333000,1,21.210514068603516,21.210514068603516
272208000,1,18.38849449157715,18.38849449157715
273345230,1,17.94249725341797,17.94249725341797
512003817,1,17.94249725341797,17.94249725341797
412331051,1,17.778396606445312,17.778396606445312
224559000,1,17.7161865234375,17.7161865234375
441699000,1,17.7161865234375,17.7161865234375
