src,dst,pair_count,max_score,mean_score
441864000,740372000,2,24.896560668945312,24.896560668945312
740358000,441864000,2,24.493608474731445,24.493608474731445
701000627,224491000,2,22.921092987060547,22.921092987060547
665111129,440282000,2,15.716601371765137,15.716601371765137
740344000,440899000,2,15.326804161071776,15.326804161071776
440863000,725000261,2,15.118974685668944,15.118974685668944
440683000,760000370,2,14.747980117797852,14.747980117797852
224559000,440863000,2,13.266018867492676,13.266018867492676
725001900,412439757,2,12.695293426513672,12.695293426513672
512000122,412439757,2,12.622681617736816,12.622681617736816
441864000,740338000,1,25.11999130249023,25.11999130249023
441864000,740354000,1,24.988746643066406,24.988746643066406
441864000,740356000,1,24.91278839111328,24.91278839111328
258261000,740335000,1,24.56814193725586,24.56814193725586
441868000,740338000,1,24.34994888305664,24.34994888305664
258261000,233659000,1,24.260753631591797,24.260753631591797
258261000,740359000,1,24.22610855102539,24.22610855102539
441868000,233659000,1,24.21691131591797,24.21691131591797
740356000,441868000,1,24.188262939453125,24.188262939453125
725000591,740337000,1,24.17363166809082,24.17363166809082
740368000,441868000,1,23.760751724243164,23.760751724243164
258261000,441864000,1,23.386159896850582,23.386159896850582
740337000,440863000,1,23.309852600097656,23.309852600097656
440863000,740354000,1,23.301803588867188,23.301803588867188
740366000,272178000,1,23.297456741333008,23.297456741333008
740353000,272178000,1,23.272083282470703,23.272083282470703
740337000,272178000,1,23.19317626953125,23.19317626953125
272178000,740336000,1,23.117969512939453,23.117969512939453
740356000,701000627,1,22.750959396362305,22.750959396362305
441868000,440863000,1,22.56271743774414,22.56271743774414
233659000,701068000,1,22.166276931762695,22.166276931762695
701068000,233659000,1,22.166276931762695,22.166276931762695
740368000,725002360,1,22.0129451751709,22.0129451751709
224491000,272204000,1,21.77266311645508,21.77266311645508
272204000,740366000,1,21.750205993652344,21.750205993652344
725002360,740353000,1,21.694740295410156,21.694740295410156
740336000,273341320,1,21.62384033203125,21.62384033203125
273341320,740353000,1,21.46596908569336,21.46596908569336
725000896,740359000,1,21.36661148071289,21.36661148071289
740358000,725000896,1,21.258764266967773,21.258764266967773
272204000,740358000,1,21.22948455810547,21.22948455810547
273341320,740333000,1,21.210514068603516,21.210514068603516
273341320,740356000,1,20.954593658447266,20.954593658447266
441868000,701068000,1,20.93560791015625,20.93560791015625
273341320,233659000,1,20.929302215576172,20.929302215576172
440863000,725000896,1,19.533430099487305,19.533430099487305
725002360,273341320,1,18.451915740966797,18.451915740966797
273341320,272208000,1,18.38849449157715,18.38849449157715
272204000,273341320,1,18.110755920410156,18.110755920410156
273345230,512003817,1,17.94249725341797,17.94249725341797
