MMSI,candidate_count,max_score,mean_score
235004768,3,15.209088325500488,14.798412322998047
978925333,3,14.933841705322266,14.845341046651205
251559340,3,14.67234230041504,14.50887139638265
412420457,3,14.635295867919922,14.415165583292643
412320747,3,14.389071464538574,14.291034062703451
316003227,2,15.982738494873049,15.432181358337402
922564322,2,15.259869575500488,14.589378833770752
412328726,2,15.24135398864746,14.674283981323242
413013474,2,15.194210052490234,14.928522109985352
412214311,2,15.182621955871582,14.741312980651855
238988810,2,15.152587890625,14.530017375946045
249000150,2,15.090287208557127,14.754345417022703
247143230,2,14.941540718078612,14.578646659851074
412033504,2,14.936227798461914,14.570939064025879
200005403,2,14.935640335083008,14.628369331359863
412341689,2,14.935640335083008,14.775259494781494
412364987,2,14.93313694000244,14.446333885192871
247301090,2,14.912870407104492,14.897991180419922
412444848,2,14.908845901489258,14.825804233551025
200010801,2,14.908814430236816,14.853273391723633
412428937,2,14.88922882080078,14.441239833831785
412283766,2,14.875030517578123,14.492440700531006
412431182,2,14.854769706726074,14.819589138031006
100059863,2,14.846899032592772,14.590660095214844
227657280,2,14.842869758605955,14.822045803070068
238622210,2,14.830281257629396,14.442718029022219
710903610,2,14.826847076416016,14.382190704345703
440148940,2,14.800617218017578,14.793672561645508
227928000,2,14.793438911437988,14.335055828094482
247100180,2,14.784860610961914,14.354644298553467
412426268,2,14.751066207885742,14.38277816772461
431008349,2,14.73880386352539,14.388590812683105
416001549,2,14.713272094726562,14.436371803283691
412331072,2,14.680464744567873,14.61539363861084
905111998,2,14.662834167480469,14.528147220611572
800001646,2,14.607599258422852,14.398966789245605
412412778,2,14.603303909301758,14.405369281768799
412284147,2,14.589248657226562,14.548434257507324
17999,2,14.580296516418455,14.53287410736084
224130750,2,14.580296516418455,14.479922771453857
224080860,2,14.567068099975586,14.506018161773682
412332966,2,14.54018783569336,14.492578029632568
440145970,2,14.539518356323242,14.281601905822754
412975300,2,14.535360336303713,14.205161571502686
440141490,2,14.514694213867188,14.460310935974121
200011594,2,14.492927551269531,14.297521591186523
412286472,2,14.48186492919922,14.33237361907959
412451716,2,14.468032836914062,14.363842487335205
412322378,2,14.464902877807615,14.193300247192383
367310250,2,14.429157257080078,14.390074729919434
412325368,2,14.428274154663086,14.343963146209717
412331625,2,14.389053344726562,14.38648509979248
412447668,2,14.321138381958008,14.29596996307373
247145290,2,14.306175231933594,14.248684883117676
200006292,2,14.291690826416016,14.247251510620117
413811159,2,14.270801544189451,14.167783737182615
412233802,2,14.23691177368164,14.105091094970703
224048860,2,14.223067283630373,14.206700801849365
735058805,2,14.215519905090332,14.11357831954956
338540000,2,14.149457931518556,14.128335952758789
416242500,2,14.124932289123535,14.016189575195312
412452827,2,14.03837776184082,14.026058197021484
412366082,2,14.019535064697266,14.001219749450684
257093940,2,13.960332870483398,13.929732322692871
257317000,1,15.982738494873049,15.982738494873049
412413289,1,15.931644439697266,15.931644439697266
813021762,1,15.931644439697266,15.931644439697266
412000690,1,15.918574333190918,15.918574333190918
412325200,1,15.918574333190918,15.918574333190918
224072680,1,15.90399169921875,15.90399169921875
251146940,1,15.90399169921875,15.90399169921875
412061791,1,15.808635711669922,15.808635711669922
412508302,1,15.808635711669922,15.808635711669922
224017870,1,15.798707962036133,15.798707962036133
412428302,1,15.798707962036133,15.798707962036133
237554000,1,15.759289741516112,15.759289741516112
412150903,1,15.759289741516112,15.759289741516112
271072219,1,15.6017427444458,15.6017427444458
412671880,1,15.6017427444458,15.6017427444458
273810110,1,15.55044651031494,15.55044651031494
800050093,1,15.55044651031494,15.55044651031494
251422540,1,15.525798797607422,15.525798797607422
271072320,1,15.525798797607422,15.525798797607422
412436875,1,15.49772834777832,15.49772834777832
412836422,1,15.49772834777832,15.49772834777832
316003779,1,15.486700057983398,15.486700057983398
412327536,1,15.486700057983398,15.486700057983398
205243000,1,15.418512344360352,15.418512344360352
412470145,1,15.418512344360352,15.418512344360352
224060150,1,15.409903526306152,15.409903526306152
412333102,1,15.409903526306152,15.409903526306152
257391020,1,15.366168022155762,15.366168022155762
412322715,1,15.366168022155762,15.366168022155762
412334569,1,15.278046607971191,15.278046607971191
412457054,1,15.278046607971191,15.278046607971191
431007759,1,15.270681381225586,15.270681381225586
440122430,1,15.270681381225586,15.270681381225586
250002378,1,15.268539428710938,15.268539428710938
412449921,1,15.268539428710938,15.268539428710938
412436139,1,15.259869575500488,15.259869575500488
205106000,1,15.2545804977417,15.2545804977417
258262000,1,15.2545804977417,15.2545804977417
200012142,1,15.251157760620115,15.251157760620115
413772167,1,15.251157760620115,15.251157760620115
251581340,1,15.24135398864746,15.24135398864746
200034921,1,15.224639892578123,15.224639892578123
440120830,1,15.224639892578123,15.224639892578123
900019302,1,15.209088325500488,15.209088325500488
412287252,1,15.197598457336426,15.197598457336426
431700348,1,15.197598457336426,15.197598457336426
412420857,1,15.197200775146484,15.197200775146484
412898896,1,15.197200775146484,15.197200775146484
900000104,1,15.194210052490234,15.194210052490234
257006500,1,15.189069747924805,15.189069747924805
998512016,1,15.189069747924805,15.189069747924805
412460258,1,15.187041282653809,15.187041282653809
543345420,1,15.187041282653809,15.187041282653809
412427363,1,15.182794570922852,15.182794570922852
412432384,1,15.182794570922852,15.182794570922852
224137980,1,15.182621955871582,15.182621955871582
800050719,1,15.158855438232422,15.158855438232422
900200966,1,15.158855438232422,15.158855438232422
440105310,1,15.152587890625,15.152587890625
412160104,1,15.112689971923828,15.112689971923828
800051209,1,15.112689971923828,15.112689971923828
412329737,1,15.091354370117188,15.091354370117188
413670066,1,15.091354370117188,15.091354370117188
412322136,1,15.090287208557127,15.090287208557127
228219900,1,15.084868431091309,15.084868431091309
926002068,1,15.084868431091309,15.084868431091309
108301290,1,15.082548141479492,15.082548141479492
412438845,1,15.082548141479492,15.082548141479492
800043359,1,15.079933166503906,15.079933166503906
900403696,1,15.079933166503906,15.079933166503906
412322669,1,15.072501182556152,15.072501182556152
780678229,1,15.072501182556152,15.072501182556152
247054080,1,15.065017700195312,15.065017700195312
412330962,1,15.065017700195312,15.065017700195312
412366352,1,15.026439666748049,15.026439666748049
412477576,1,15.026439666748049,15.026439666748049
258095070,1,15.020526885986328,15.020526885986328
412365879,1,15.020526885986328,15.020526885986328
227320070,1,15.003894805908203,15.003894805908203
800021236,1,15.003894805908203,15.003894805908203
224186490,1,14.993240356445312,14.993240356445312
245159000,1,14.993240356445312,14.993240356445312
412326152,1,14.986297607421877,14.986297607421877
412567230,1,14.986297607421877,14.986297607421877
412201652,1,14.983316421508787,14.983316421508787
412436149,1,14.983316421508787,14.983316421508787
213432082,1,14.979647636413574,14.979647636413574
412324269,1,14.979647636413574,14.979647636413574
412427824,1,14.970954895019531,14.970954895019531
412436755,1,14.970954895019531,14.970954895019531
412327483,1,14.96225929260254,14.96225929260254
412437805,1,14.96225929260254,14.96225929260254
247071010,1,14.952287673950195,14.952287673950195
412331589,1,14.952287673950195,14.952287673950195
224177240,1,14.946782112121582,14.946782112121582
273896300,1,14.946782112121582,14.946782112121582
412214618,1,14.94459629058838,14.94459629058838
412480774,1,14.94459629058838,14.94459629058838
247071970,1,14.94450569152832,14.94450569152832
412441347,1,14.94450569152832,14.94450569152832
412322743,1,14.941540718078612,14.941540718078612
900361019,1,14.936227798461914,14.936227798461914
