src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
258261000,740336000,3,0,5690.625263118972,4,3,1.0,0.0,5
740353000,258261000,4,0,6555.6194480630165,4,4,1.0,0.0,5
740333000,258261000,3,0,4355.178089126516,3,4,1.0,0.0,5
740333000,258261000,3,0,4355.178089126516,3,4,1.0,0.0,5
740338000,258261000,4,0,6094.203361118535,4,4,1.0,0.0,5
740336000,441864000,3,0,2964.095661896399,3,4,1.0,0.0,5
258261000,740372000,4,0,6334.528672213502,4,4,1.0,0.0,5
740354000,258261000,4,0,6731.1540223300435,4,4,1.0,0.0,5
441864000,740338000,4,0,5552.60514841539,4,4,1.0,0.0,5
441864000,740354000,4,0,721.8975725840861,4,4,1.0,0.0,5
441864000,740354000,4,0,721.8975725840861,4,4,1.0,0.0,5
259539000,740336000,2,0,1425.0864532619862,4,3,0.6666666666666666,0.0,5
259539000,740336000,2,0,1425.0864532619862,4,3,0.6666666666666666,0.0,5
259539000,740337000,3,0,4747.835853745836,4,4,0.75,0.0,5
259539000,740366000,3,0,4775.0703634941565,4,4,0.75,0.0,5
258261000,740358000,4,0,6389.563870687794,4,4,1.0,0.0,5
441864000,740358000,4,0,748.2927602782152,4,4,1.0,0.0,5
412217999,740359000,3,0,4970.945679184776,4,4,0.75,0.0,5
740336000,412280982,1,0,6942.949433449642,3,1,1.0,0.0,5
272208000,740336000,2,0,1666.3616490467662,3,3,0.6666666666666666,0.0,5
224567000,412420809,1,0,34.86366749160654,2,3,0.5,0.0,5
412420809,224567000,1,0,34.86366749160654,3,2,0.5,0.0,5
412420809,224567000,1,0,34.86366749160654,3,2,0.5,0.0,5
740335000,272208000,2,0,1586.1898334591529,3,3,0.6666666666666666,0.0,5
412270002,740353000,3,0,8116.513532354125,3,4,1.0,0.0,5
440863000,740336000,2,0,4038.260036132497,3,3,0.6666666666666666,0.0,5
412270002,224491000,3,0,5888.2987047750785,3,4,1.0,0.0,5
740337000,412217999,4,0,5205.334993422921,4,4,1.0,0.0,5
740337000,412217999,4,0,5205.334993422921,4,4,1.0,0.0,5
412280982,224491000,1,0,6725.146046493329,1,4,1.0,0.0,5
412217999,740366000,4,0,4786.891881527665,4,4,1.0,0.0,5
440863000,740337000,3,0,6344.056238118782,3,4,1.0,0.0,5
740337000,440863000,3,0,6344.056238118782,4,3,1.0,0.0,5
412420458,224567000,1,0,65.0807744140605,1,2,1.0,0.0,5
412280982,740366000,1,0,4807.346365353662,1,4,1.0,0.0,5
224559000,412420809,2,0,2289.38579673252,2,3,1.0,0.0,5
440899000,740335000,1,0,231.1819085077676,3,3,0.3333333333333333,0.0,5
740335000,440899000,1,0,231.1819085077676,3,3,0.3333333333333333,0.0,5
412270002,740372000,3,0,7974.396102203376,3,4,1.0,0.0,5
440203000,412420809,2,0,6240.634384042885,2,3,1.0,0.0,5
440899000,740353000,2,0,5556.384727720564,3,4,0.6666666666666666,0.0,5
440899000,740337000,2,0,5779.731228900947,3,4,0.6666666666666666,0.0,5
412270002,740354000,3,0,6799.157043688304,3,4,1.0,0.0,5
440203000,440502000,2,0,3526.610241018836,2,3,1.0,0.0,5
725000285,412690730,0,0,,2,3,0.0,0.0,5
412420458,412420809,1,0,99.7447188646301,1,3,1.0,0.0,5
412280982,233659000,1,0,6798.367201554922,1,4,1.0,0.0,5
740368000,259539000,3,0,5124.499916786491,4,4,0.75,0.0,5
233659000,272208000,3,0,4730.749803923659,4,3,1.0,0.0,5
440899000,740366000,2,0,5902.230216362359,3,4,0.6666666666666666,0.0,5
224491000,441699000,3,0,5492.913475471141,4,3,1.0,0.0,5
272178000,740359000,3,0,9560.903368562465,3,4,1.0,0.0,5
441699000,740333000,3,0,5481.733733813632,3,3,1.0,0.0,5
440755000,740335000,3,0,3761.7127823296123,5,3,1.0,0.0,5
