src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
412450027,200007910,7,0,,146,328,0.04794520547945205,0.0,2922
211315220,412431564,98,0,,716,300,0.32666666666666666,0.0,2922
412425192,998508450,44,0,,328,220,0.2,0.0,2922
412482661,988005881,39,0,,528,39,1.0,0.0,2922
412431182,412444756,102,0,,365,590,0.27945205479452057,0.0,2922
259127000,263401250,477,0,,966,1812,0.4937888198757764,0.0,2922
412320152,224063280,168,0,,317,1469,0.5299684542586751,0.0,2922
100059863,912022008,14,0,,75,68,0.20588235294117646,0.0,2922
247252280,859000000,245,0,,1545,433,0.5658198614318707,0.0,2922
227657280,412006566,80,0,,643,228,0.3508771929824561,0.0,2922
413002668,431008269,113,0,,289,526,0.39100346020761245,0.0,2922
238622210,413001153,200,0,,1002,497,0.4024144869215292,0.0,2922
710903610,412322468,127,0,,726,198,0.6414141414141414,0.0,2922
412348429,250003659,92,0,,208,1170,0.4423076923076923,0.0,2922
412435602,271062053,21,0,,203,252,0.10344827586206896,0.0,2922
412469099,412324368,37,0,,134,542,0.27611940298507465,0.0,2922
978925333,415131223,187,0,,515,486,0.38477366255144035,0.0,2922
412015016,227657280,200,0,,517,643,0.38684719535783363,0.0,2922
