src,dst,score
441864000,740338000,25.119991302490234
441864000,740354000,24.988746643066406
441864000,740356000,24.91278839111328
441864000,740372000,24.896560668945312
441864000,740372000,24.896560668945312
258261000,740335000,24.56814193725586
740358000,441864000,24.493608474731445
740358000,441864000,24.493608474731445
441868000,740338000,24.34994888305664
258261000,233659000,24.260753631591797
258261000,740359000,24.22610855102539
441868000,233659000,24.21691131591797
740356000,441868000,24.188262939453125
725000591,740337000,24.17363166809082
740368000,441868000,23.760751724243164
258261000,441864000,23.386159896850586
740337000,440863000,23.309852600097656
440863000,740354000,23.301803588867188
740366000,272178000,23.297456741333008
740353000,272178000,23.272083282470703
740337000,272178000,23.19317626953125
272178000,740336000,23.117969512939453
701000627,224491000,22.921092987060547
701000627,224491000,22.921092987060547
740356000,701000627,22.750959396362305
441868000,440863000,22.56271743774414
233659000,701068000,22.166276931762695
701068000,233659000,22.166276931762695
740368000,725002360,22.0129451751709
224491000,272204000,21.772663116455078
272204000,740366000,21.750205993652344
725002360,740353000,21.694740295410156
740336000,273341320,21.62384033203125
273341320,740353000,21.46596908569336
725000896,740359000,21.36661148071289
740358000,725000896,21.258764266967773
272204000,740358000,21.22948455810547
273341320,740333000,21.210514068603516
273341320,740356000,20.954593658447266
441868000,701068000,20.93560791015625
273341320,233659000,20.929302215576172
440863000,725000896,19.533430099487305
725002360,273341320,18.451915740966797
273341320,272208000,18.38849449157715
272204000,273341320,18.110755920410156
273345230,512003817,17.94249725341797
412331051,740335000,17.778396606445312
441699000,224559000,17.7161865234375
224004000,740372000,17.68707275390625
224004000,740336000,17.504146575927734
