src,dst,pair_count,max_score,mean_score
441864000,740372000,2,24.896560668945312,24.896560668945312
740358000,441864000,2,24.493608474731445,24.493608474731445
701000627,224491000,2,22.921092987060547,22.921092987060547
665111129,440282000,2,15.716601371765137,15.716601371765137
740344000,440899000,2,15.326804161071776,15.326804161071776
440863000,725000261,2,15.118974685668944,15.118974685668944
440683000,760000370,2,14.747980117797852,14.747980117797852
224559000,440863000,2,13.266018867492676,13.266018867492676
725001900,412439757,2,12.695293426513672,12.695293426513672
512000122,412439757,2,12.622681617736816,12.622681617736816
441864000,740338000,1,25.11999130249023,25.11999130249023
441864000,740354000,1,24.988746643066406,24.988746643066406
441864000,740356000,1,24.91278839111328,24.91278839111328
258261000,740335000,1,24.56814193725586,24.56814193725586
441868000,740338000,1,24.34994888305664,24.34994888305664
258261000,233659000,1,24.260753631591797,24.260753631591797
258261000,740359000,1,24.22610855102539,24.22610855102539
441868000,233659000,1,24.21691131591797,24.21691131591797
740356000,441868000,1,24.188262939453125,24.188262939453125
725000591,740337000,1,24.17363166809082,24.17363166809082
740368000,441868000,1,23.760751724243164,23.760751724243164
258261000,441864000,1,23.386159896850582,23.386159896850582
740337000,440863000,1,23.309852600097656,23.309852600097656
440863000,740354000,1,23.301803588867188,23.301803588867188
740366000,272178000,1,23.297456741333008,23.297456741333008
740353000,272178000,1,23.272083282470703,23.272083282470703
740337000,272178000,1,23.19317626953125,23.19317626953125
272178000,740336000,1,23.117969512939453,23.117969512939453
740356000,701000627,1,22.750959396362305,22.750959396362305
441868000,440863000,1,22.56271743774414,22.56271743774414
233659000,701068000,1,22.166276931762695,22.166276931762695
701068000,233659000,1,22.166276931762695,22.166276931762695
740368000,725002360,1,22.0129451751709,22.0129451751709
224491000,272204000,1,21.77266311645508,21.77266311645508
272204000,740366000,1,21.750205993652344,21.750205993652344
725002360,740353000,1,21.694740295410156,21.694740295410156
740336000,273341320,1,21.62384033203125,21.62384033203125
273341320,740353000,1,21.46596908569336,21.46596908569336
725000896,740359000,1,21.36661148071289,21.36661148071289
740358000,725000896,1,21.258764266967773,21.258764266967773
272204000,740358000,1,21.22948455810547,21.22948455810547
273341320,740333000,1,21.210514068603516,21.210514068603516
273341320,740356000,1,20.954593658447266,20.954593658447266
441868000,701068000,1,20.93560791015625,20.93560791015625
273341320,233659000,1,20.929302215576172,20.929302215576172
440863000,725000896,1,19.533430099487305,19.533430099487305
725002360,273341320,1,18.451915740966797,18.451915740966797
273341320,272208000,1,18.38849449157715,18.38849449157715
272204000,273341320,1,18.110755920410156,18.110755920410156
273345230,512003817,1,17.94249725341797,17.94249725341797
412331051,740335000,1,17.778396606445312,17.778396606445312
441699000,224559000,1,17.7161865234375,17.7161865234375
224004000,740372000,1,17.68707275390625,17.68707275390625
224004000,740336000,1,17.504146575927734,17.504146575927734
224491000,412331051,1,17.355186462402344,17.355186462402344
412331051,224491000,1,17.355186462402344,17.355186462402344
740366000,412331051,1,17.34811782836914,17.34811782836914
259539000,740336000,1,17.07579803466797,17.07579803466797
273341320,273431690,1,17.035430908203125,17.035430908203125
441699000,740359000,1,16.856426239013672,16.856426239013672
440899000,740336000,1,16.791048049926758,16.791048049926758
412270002,412420458,1,16.790477752685547,16.790477752685547
412331051,441868000,1,16.78557014465332,16.78557014465332
441699000,740336000,1,16.668272018432617,16.668272018432617
272221000,233659000,1,16.615690231323242,16.615690231323242
725002300,740344000,1,16.540416717529297,16.540416717529297
740344000,725000261,1,16.499757766723633,16.499757766723633
740368000,440899000,1,16.390029907226562,16.390029907226562
272221000,740372000,1,16.33246421813965,16.33246421813965
272221000,740335000,1,16.3131103515625,16.3131103515625
740335000,272221000,1,16.3131103515625,16.3131103515625
412331051,701000627,1,15.951906204223633,15.951906204223633
412280982,740368000,1,15.94892692565918,15.94892692565918
412420458,224623000,1,15.885913848876951,15.885913848876951
257400000,440816000,1,15.716601371765137,15.716601371765137
272770000,257400000,1,15.716601371765137,15.716601371765137
272770000,740399000,1,15.716601371765137,15.716601371765137
273539310,440282000,1,15.716601371765137,15.716601371765137
440282000,665111129,1,15.716601371765137,15.716601371765137
440816000,740399000,1,15.716601371765137,15.716601371765137
512006000,440755,1,15.716601371765137,15.716601371765137
512006000,440282000,1,15.716601371765137,15.716601371765137
512006000,740399000,1,15.716601371765137,15.716601371765137
701112000,257400000,1,15.716601371765137,15.716601371765137
701112000,665111129,1,15.716601371765137,15.716601371765137
740399000,440755,1,15.716601371765137,15.716601371765137
770565353,770576305,1,15.716601371765137,15.716601371765137
770576305,701112000,1,15.716601371765137,15.716601371765137
770576439,740402000,1,15.716601371765137,15.716601371765137
441868000,272221000,1,15.698942184448242,15.698942184448242
440683000,440684000,1,15.69782543182373,15.69782543182373
740356000,725015600,1,15.617791175842283,15.617791175842283
259539000,740344000,1,15.57419490814209,15.57419490814209
740337000,725015600,1,15.556848526000977,15.556848526000977
740336000,412280982,1,15.382793426513672,15.382793426513672
412280982,441868000,1,15.260246276855469,15.260246276855469
412217999,740335000,1,15.254193305969238,15.254193305969238
740337000,412270002,1,15.046429634094238,15.046429634094238
272208000,725000591,1,14.980979919433594,14.980979919433594
740338000,272323000,1,14.862699508666992,14.862699508666992
740337000,273431690,1,14.824195861816406,14.824195861816406
272208000,740358000,1,14.811944961547852,14.811944961547852
272178000,272208000,1,14.769638061523438,14.769638061523438
740368000,273431690,1,14.752564430236816,14.752564430236816
440899000,701006182,1,14.73554229736328,14.73554229736328
412280982,725000591,1,14.563295364379885,14.563295364379885
740356000,412270002,1,14.551502227783203,14.551502227783203
