src,dst,overlap_days,days_within_km,mean_distance_km,files_used
257317000,316003227,1168,0,5304.11644942106,2922
813021762,412413289,1016,0,738.9928691911366,2922
412000690,412325200,774,102,135.14586891539665,2922
251146940,224072680,705,0,3339.621962615994,2922
412061791,412508302,226,8,215.9940068481189,2922
224017870,412428302,523,0,9882.368482820906,2922
412150903,237554000,141,0,8209.598748370308,2922
271072219,412671880,460,0,9128.201093112948,2922
273810110,800050093,265,0,4364.63965094258,2922
271072320,251422540,1283,0,4268.236293943962,2922
412436875,412836422,68,0,742.3546280542037,2922
412327536,316003779,136,0,8631.992240978087,2922
205243000,412470145,1297,0,9790.841143531768,2922
224060150,412333102,118,0,10153.811833895454,2922
412322715,257391020,577,0,7076.42237547763,2922
412334569,412457054,464,0,1481.6997737036718,2922
431007759,440122430,1370,0,992.2396646183126,2922
250002378,412449921,638,0,9728.85754913381,2922
922564322,412436139,169,0,233.88508925934553,2922
205106000,258262000,2722,0,1893.0732540642352,2922
413772167,200012142,13,0,927.767174660178,2922
412328726,251581340,473,0,14314.976429380484,2922
200034921,440120830,417,0,723.1332783714975,2922
235004768,900019302,64,0,9650.475571555413,2922
412287252,431700348,924,0,2079.042172803072,2922
412420857,412898896,0,0,,2922
900000104,413013474,191,0,714.610525297879,2922
998512016,257006500,273,0,7075.754477947658,2922
543345420,412460258,53,0,603.3568612811265,2922
412427363,412432384,193,0,263.459546421109,2922
224137980,412214311,514,0,9076.979960595638,2922
800050719,900200966,159,0,439.29979783321807,2922
440105310,238988810,1162,0,8926.9071598952,2922
800051209,412160104,250,0,1818.5750047485324,2922
413670066,412329737,14,0,1001.1514737942551,2922
249000150,412322136,208,0,9013.732234603433,2922
228219900,926002068,333,0,9041.008662243828,2922
108301290,412438845,9,0,301.3223198805712,2922
900403696,800043359,22,0,1007.4309188550972,2922
780678229,412322669,104,0,129.11725885409348,2922
412330962,247054080,676,0,8421.800389804637,2922
412477576,412366352,462,0,1480.8163047770463,2922
412365879,258095070,35,0,6583.275645015044,2922
800021236,227320070,420,0,9635.594628115467,2922
245159000,224186490,872,0,1873.1858940194832,2922
412326152,412567230,51,0,900.4596099693194,2922
412436149,412201652,379,0,1068.392187866599,2922
412324269,213432082,47,0,938.1804836569838,2922
412436755,412427824,83,0,234.06653966455045,2922
412437805,412327483,182,0,762.8467313522123,2922
247071010,412331589,695,0,8331.552459083872,2922
273896300,224177240,4074,0,9790.255632122207,2922
412480774,412214618,73,0,1892.871652919719,2922
247071970,412441347,361,0,9257.691984532197,2922
412322743,247143230,178,0,9082.14708407781,2922
900361019,412033504,82,0,764.400887901747,2922
200005403,412341689,103,0,537.5175159843122,2922
978925333,905108098,303,0,433.73351950562545,2922
412364987,412472399,515,0,1439.405002177106,2922
238598010,412331602,417,0,8403.78983976251,2922
412451244,412436469,55,0,531.0195352823247,2922
412467837,412321053,106,0,1940.1156254031762,2922
412331693,412436406,34,0,701.3821042971528,2922
227480000,247301090,3335,0,1747.9356662020496,2922
440100368,412331807,6,0,858.950939315581,2922
888810972,412444848,96,0,1174.86528979167,2922
200010801,412349355,86,0,230.0761301227549,2922
412322484,412422065,115,0,639.659987847334,2922
15201,412322501,159,36,145.36536112669168,2922
440152550,800049974,1216,0,853.3453122445496,2922
271072091,369519000,810,0,9762.281992343906,2922
412061037,412448746,36,0,211.04484225688998,2922
412428937,440027420,332,0,776.9406236693568,2922
800036171,224005830,946,0,9621.653285196944,2922
271073074,367133080,378,0,8141.2961984768035,2922
412410322,235103397,2057,0,9402.454605270961,2922
247301090,412432592,690,0,9479.921361050143,2922
316003227,412000923,238,0,10928.16405128814,2922
413000179,235065442,720,0,8378.071710040414,2922
412427396,412082569,82,0,556.7373711594555,2922
412283766,412327406,216,0,428.3506130987957,2922
227301390,412213972,1103,0,8677.783149955923,2922
412450027,200007910,20,0,916.4139523370304,2922
211315220,412431564,288,0,8974.239915688946,2922
412425192,998508450,140,9,194.36356776054578,2922
412482661,988005881,115,0,989.5325940375112,2922
412431182,412444756,308,0,469.9030708102481,2922
259127000,263401250,1430,0,2993.574632972494,2922
412320152,224063280,502,0,10282.784585146526,2922
100059863,912022008,46,0,946.5412964708587,2922
247252280,859000000,733,0,8711.249311147225,2922
227657280,412006566,246,0,10109.058394239133,2922
413002668,431008269,335,0,1927.790453053801,2922
238622210,413001153,597,0,9132.814017085248,2922
710903610,412322468,378,0,18765.45085051055,2922
412348429,250003659,277,0,9038.295703571923,2922
412435602,271062053,61,0,8280.984440678361,2922
412469099,412324368,115,0,1787.2530950772675,2922
978925333,415131223,537,2,139.68654428292075,2922
412015016,227657280,607,0,8991.043654086156,2922
