MMSI,candidate_count,max_score,mean_score
235004768,3,15.209088325500488,14.798412322998047
978925333,3,14.933841705322266,14.845341046651205
251559340,3,14.67234230041504,14.50887139638265
412420457,3,14.635295867919922,14.415165583292643
412320747,3,14.389071464538574,14.291034062703451
316003227,2,15.982738494873049,15.432181358337402
922564322,2,15.259869575500488,14.589378833770752
412328726,2,15.24135398864746,14.674283981323242
413013474,2,15.194210052490234,14.928522109985352
412214311,2,15.182621955871582,14.741312980651855
238988810,2,15.152587890625,14.530017375946045
249000150,2,15.090287208557127,14.754345417022703
247143230,2,14.941540718078612,14.578646659851074
412033504,2,14.936227798461914,14.570939064025879
200005403,2,14.935640335083008,14.628369331359863
412341689,2,14.935640335083008,14.775259494781494
412364987,2,14.93313694000244,14.446333885192871
247301090,2,14.912870407104492,14.897991180419922
412444848,2,14.908845901489258,14.825804233551025
200010801,2,14.908814430236816,14.853273391723633
412428937,2,14.88922882080078,14.441239833831785
412283766,2,14.875030517578123,14.492440700531006
412431182,2,14.854769706726074,14.819589138031006
100059863,2,14.846899032592772,14.590660095214844
227657280,2,14.842869758605955,14.822045803070068
238622210,2,14.830281257629396,14.442718029022219
710903610,2,14.826847076416016,14.382190704345703
440148940,2,14.800617218017578,14.793672561645508
227928000,2,14.793438911437988,14.335055828094482
247100180,2,14.784860610961914,14.354644298553467
412426268,2,14.751066207885742,14.38277816772461
431008349,2,14.73880386352539,14.388590812683105
416001549,2,14.713272094726562,14.436371803283691
412331072,2,14.680464744567873,14.61539363861084
905111998,2,14.662834167480469,14.528147220611572
800001646,2,14.607599258422852,14.398966789245605
412412778,2,14.603303909301758,14.405369281768799
412284147,2,14.589248657226562,14.548434257507324
17999,2,14.580296516418455,14.53287410736084
224130750,2,14.580296516418455,14.479922771453857
224080860,2,14.567068099975586,14.506018161773682
412332966,2,14.54018783569336,14.492578029632568
440145970,2,14.539518356323242,14.281601905822754
412975300,2,14.535360336303713,14.205161571502686
440141490,2,14.514694213867188,14.460310935974121
200011594,2,14.492927551269531,14.297521591186523
412286472,2,14.48186492919922,14.33237361907959
412451716,2,14.468032836914062,14.363842487335205
412322378,2,14.464902877807615,14.193300247192383
367310250,2,14.429157257080078,14.390074729919434
