src,dst,score
412398568,900022970,15.309172630310059
412322409,800049526,15.286157608032227
257410800,412447021,15.27305793762207
412521718,413088006,15.272332191467285
234417000,412418208,15.266534805297852
316014090,412321548,15.264196395874023
413324458,412558897,15.263319969177246
367083130,412432864,15.257747650146484
224330760,412463372,15.249618530273438
888808888,413088101,15.24246597290039
412436643,800051126,15.241958618164062
224056960,224011550,15.239482879638672
412469473,412332416,15.234428405761719
412423374,100181388,15.230936050415039
271072082,412366506,15.230480194091797
257216620,247121210,15.224719047546387
412423957,800054261,15.221426010131836
800025903,412981200,15.221242904663086
413005866,412295696,15.219598770141602
900008827,412333094,15.209430694580078
211155000,367310250,15.207908630371094
219006382,412444726,15.20401668548584
205296000,412419132,15.203803062438965
412352200,242144100,15.196170806884766
228229000,412270585,15.194229125976562
440206640,800043972,15.191167831420898
412435077,275223000,15.188629150390625
432511000,412009878,15.188053131103516
244030722,412331072,15.186359405517578
273894200,17999,15.184074401855469
367616650,412421589,15.176340103149414
412433391,412414104,15.174505233764648
275420000,800051126,15.173683166503906
800038422,257079740,15.164814949035645
412005724,412420225,15.158438682556152
412326693,412329161,15.156902313232422
412430813,412413817,15.156852722167969
257079740,263500170,15.148354530334473
205316000,219006023,15.139633178710938
412451174,273898100,15.107645034790039
224019420,412322348,15.100237846374512
100894783,412476465,15.07783031463623
412320747,247124560,15.03122615814209
412366547,200005497,14.990682601928711
412481735,800026565,14.91905403137207
412436422,412333515,14.914739608764648
412423246,412347105,14.912940979003906
412202078,412481735,14.911141395568848
412330767,888816807,14.910102844238281
413002256,412441153,14.905720710754395
