src,dst,bucket,label,score
227319580,228149700,2017-08-07 00:00:00,1,0.07740137726068497
701000607,701078000,2017-08-07 00:00:00,1,0.07740137726068497
130400919,412432709,2017-08-07 00:00:00,1,0.07740137726068497
130400919,900018515,2017-08-07 00:00:00,1,0.07740137726068497
412432709,900018515,2017-08-07 00:00:00,1,0.07740137726068497
412365752,926004879,2017-08-07 00:00:00,1,0.07740137726068497
367026970,367095130,2017-08-07 00:00:00,1,0.07740137726068497
367095130,367630000,2017-08-07 00:00:00,1,0.07740137726068497
412365706,412413918,2017-08-07 00:00:00,0,0.07740137726068497
200020286,875401258,2017-08-07 00:00:00,0,0.07740137726068497
413262143,820040935,2017-08-07 00:00:00,0,0.07740137726068497
412203601,440218050,2017-08-07 00:00:00,0,0.07740137726068497
368085000,413543073,2017-08-07 00:00:00,0,0.07740137726068497
412327004,412435036,2017-08-07 00:00:00,0,0.07740137726068497
200008659,224552620,2017-08-07 00:00:00,0,0.07740137726068497
412460151,415532155,2017-08-07 00:00:00,0,0.07740137726068497
257216940,258529000,2017-08-08 00:00:00,1,0.07742494344711304
412414339,412418557,2017-08-08 00:00:00,1,0.07742494344711304
320602597,412439116,2017-08-08 00:00:00,1,0.07742494344711304
800008308,900006409,2017-08-08 00:00:00,1,0.07742494344711304
408901561,408906921,2017-08-08 00:00:00,1,0.07742494344711304
110705989,412433952,2017-08-08 00:00:00,1,0.07742494344711304
412421366,412422647,2017-08-08 00:00:00,1,0.07742494344711304
412437008,902588618,2017-08-08 00:00:00,1,0.07742494344711304
412345645,412413361,2017-08-08 00:00:00,1,0.07742494344711304
244644000,244750011,2017-08-08 00:00:00,1,0.07742494344711304
412365706,412413918,2017-08-08 00:00:00,0,0.07742494344711304
200020286,875401258,2017-08-08 00:00:00,0,0.07742494344711304
413262143,820040935,2017-08-08 00:00:00,0,0.07742494344711304
412203601,440218050,2017-08-08 00:00:00,0,0.07742494344711304
368085000,413543073,2017-08-08 00:00:00,0,0.07742494344711304
412327004,412435036,2017-08-08 00:00:00,0,0.07742494344711304
200008659,224552620,2017-08-08 00:00:00,0,0.07742494344711304
412460151,415532155,2017-08-08 00:00:00,0,0.07742494344711304
412214152,413070001,2017-08-08 00:00:00,0,0.07742494344711304
237959000,412482422,2017-08-08 00:00:00,0,0.07742494344711304
8814618,412364693,2017-08-09 00:00:00,1,0.07743386179208755
412425361,412429154,2017-08-09 00:00:00,1,0.07743386179208755
150701936,412432606,2017-08-09 00:00:00,1,0.07743386179208755
416001504,416201800,2017-08-09 00:00:00,1,0.07743386179208755
258052000,258545000,2017-08-09 00:00:00,1,0.07743386179208755
251209000,251847570,2017-08-09 00:00:00,1,0.07743386179208755
412365706,412413918,2017-08-09 00:00:00,0,0.07743386179208755
200020286,875401258,2017-08-09 00:00:00,0,0.07743386179208755
413262143,820040935,2017-08-09 00:00:00,0,0.07743386179208755
412203601,440218050,2017-08-09 00:00:00,0,0.07743386179208755
368085000,413543073,2017-08-09 00:00:00,0,0.07743386179208755
412327004,412435036,2017-08-09 00:00:00,0,0.07743386179208755
224022130,224095140,2017-08-10 00:00:00,1,0.07743661850690842
338603000,367084590,2017-08-10 00:00:00,1,0.07743661850690842
200005498,412066699,2017-08-10 00:00:00,1,0.07743661850690842
231751000,273326830,2017-08-10 00:00:00,1,0.07743661850690842
251228000,251848640,2017-08-10 00:00:00,1,0.07743661850690842
412088186,412434203,2017-08-10 00:00:00,1,0.07743661850690842
224052450,224082870,2017-08-10 00:00:00,1,0.07743661850690842
88588,900011464,2017-08-10 00:00:00,1,0.07743661850690842
412410021,412860085,2017-08-10 00:00:00,1,0.07743661850690842
412365706,412413918,2017-08-10 00:00:00,0,0.07743661850690842
200020286,875401258,2017-08-10 00:00:00,0,0.07743661850690842
413262143,820040935,2017-08-10 00:00:00,0,0.07743661850690842
412203601,440218050,2017-08-10 00:00:00,0,0.07743661850690842
368085000,413543073,2017-08-10 00:00:00,0,0.07743661850690842
412327004,412435036,2017-08-10 00:00:00,0,0.07743661850690842
200008659,224552620,2017-08-10 00:00:00,0,0.07743661850690842
412460151,415532155,2017-08-10 00:00:00,0,0.07743661850690842
412214152,413070001,2017-08-10 00:00:00,0,0.07743661850690842
257409500,257576600,2017-08-11 00:00:00,1,0.07743693888187408
900000195,900017342,2017-08-11 00:00:00,1,0.07743693888187408
870400189,900000195,2017-08-11 00:00:00,1,0.07743693888187408
200021247,900000195,2017-08-11 00:00:00,1,0.07743693888187408
412432877,900000195,2017-08-11 00:00:00,1,0.07743693888187408
412365041,412366335,2017-08-11 00:00:00,1,0.07743693888187408
412432877,900017342,2017-08-11 00:00:00,1,0.07743693888187408
200021247,870400189,2017-08-11 00:00:00,1,0.07743693888187408
412432877,870400189,2017-08-11 00:00:00,1,0.07743693888187408
412212839,413235579,2017-08-11 00:00:00,1,0.07743693888187408
200021247,412432877,2017-08-11 00:00:00,1,0.07743693888187408
200019473,412340960,2017-08-11 00:00:00,1,0.07743693888187408
273316510,273420840,2017-08-11 00:00:00,1,0.07743693888187408
412421535,412423036,2017-08-11 00:00:00,1,0.07743693888187408
412365706,412413918,2017-08-11 00:00:00,0,0.07743693888187408
200020286,875401258,2017-08-11 00:00:00,0,0.07743693888187408
413262143,820040935,2017-08-11 00:00:00,0,0.07743693888187408
412203601,440218050,2017-08-11 00:00:00,0,0.07743693888187408
368085000,413543073,2017-08-11 00:00:00,0,0.07743693888187408
412327004,412435036,2017-08-11 00:00:00,0,0.07743693888187408
200008659,224552620,2017-08-11 00:00:00,0,0.07743693888187408
412460151,415532155,2017-08-11 00:00:00,0,0.07743693888187408
412214152,413070001,2017-08-11 00:00:00,0,0.07743693888187408
237959000,412482422,2017-08-11 00:00:00,0,0.07743693888187408
238258440,412337216,2017-08-11 00:00:00,0,0.07743693888187408
245342000,412323924,2017-08-11 00:00:00,0,0.07743693888187408
257355020,770576122,2017-08-11 00:00:00,0,0.07743693888187408
150702295,366850380,2017-08-11 00:00:00,0,0.07743693888187408
