src,dst,score
412451524,800036186,31.067317962646484
224213490,412423917,31.060592651367188
412438482,412416177,31.053470611572266
800034949,247083220,31.028348922729492
412436493,224213490,31.01994514465332
412436222,900304132,31.019004821777344
800034949,200009563,31.015338897705078
412428164,412417761,31.007604598999023
412449858,412437524,31.000553131103516
412414040,800044058,30.998043060302734
228004600,412205513,30.995939254760742
224042880,412420679,30.98822784423828
412417761,412416881,30.974903106689453
412422375,412428225,30.96905517578125
412437423,412435485,30.967792510986328
412284298,900017023,30.963787078857422
412435615,800036186,30.961942672729492
412413171,412416881,30.960784912109375
412417953,412423558,30.956254959106445
413250104,412449922,30.95522689819336
412412076,412322072,30.95215606689453
412436389,412428587,30.945791244506836
412419034,412283613,30.945592880249023
412400016,412436314,30.93691635131836
412422887,412410389,30.93592643737793
412432069,412436203,30.927627563476562
224052850,412410161,30.926897048950195
271072061,900017023,30.92574119567871
412423144,412415321,30.922473907470703
412423558,412327735,30.921249389648438
412322072,118888880,30.917997360229492
800037097,412423144,30.911775588989258
413930043,412412008,30.910400390625
413060492,412285103,30.910329818725586
413242213,500080001,30.909954071044922
412415151,412421972,30.909502029418945
413037008,245715000,30.90782356262207
800037097,412449922,30.906829833984375
412366514,412410369,30.90542984008789
412428286,412423056,30.901798248291016
412438894,412420012,30.899944305419922
247061730,412425941,30.898038864135742
412410128,412416248,30.896011352539062
412328686,412428224,30.894184112548828
412436239,412419034,30.89389419555664
412418098,412844812,30.888118743896484
224105890,412430671,30.88690757751465
412427808,412452644,30.885787963867188
412214164,900017023,30.88560676574707
412435615,412327735,30.884716033935547
412422153,263401660,30.882768630981445
224050280,412410238,30.87734031677246
412427987,200006453,30.876916885375977
412322072,412421743,30.873321533203125
412422375,412400074,30.87307357788086
412283613,219018405,30.871200561523438
412417557,412422979,30.87074089050293
412423115,412328575,30.868860244750977
412452644,412435615,30.867938995361328
412322072,412431026,30.86792755126953
412441822,412421739,30.86687469482422
412433493,412428545,30.863447189331055
800037097,412844812,30.863330841064453
412439249,412332762,30.85361099243164
412431788,412412407,30.851760864257812
412441943,412283827,30.851455688476562
412436239,412328371,30.850162506103516
412438709,130700536,30.847009658813477
800010420,224105890,30.841487884521484
247121920,413080492,30.8407039642334
412421964,900304132,30.8399600982666
412461376,412415321,30.83930778503418
412425119,412428253,30.838794708251953
219014161,412420104,30.83478355407715
412206991,412437371,30.834699630737305
